espb,fond_predavanja,fond_vezbe,godina_studija,naziv,semestar,sifra,stud_program_id
15,5,0,1,ASIC dizajn,2,9126,34
8,3,3,3,C# programiranje,5,5937A,14
8,3,3,3,Microsoft tehnologije za pristup podacima,6,5975A,14
6,2,2,3,SQL programiranje,5,6082,13
8,3,3,3,SQLprogramiranje,5,5971A,14
6,3,3,NULL,VoIP,NULL,8023,NULL
6,2,2,3,Web programiranje,6,3003,8
8,3,2,2,Web sistemi i tehnologije,3,2014A,14
6,2,2,1,2D animacija,1,4223,25
8,3,3,3,3-D modelovanje i animacija,5,3051,4
8,4,3,4,3D animacija,8,4108,10
8,3,3,1,Administracija i održavanje sistema 1,1,7,12
8,3,3,1,Administracija i održavanje sistema 2,2,1008,12
6,0,0,NULL,Agenti,NULL,CS366,NULL
6,2,2,1,Agilni razvoj softvera,1,8036,27
6,2,2,3,Algebra,6,2030,7
13,5,0,1,Algoritamska teorija brojeva,1,9143,28
15,6,0,1,Algoritmi,2,9105,28
8,3,2,2,Algoritmi i strukture podataka,3,2025B,5
8,3,3,1,Ambijentalna inteligencija,1,8078,20
6,2,2,1,Analitika velikih podataka,2,8064,24
6,2,2,1,Analiza društvenih mreža,1,8030,16
8,0,0,NULL,Analiza i linearna algebra,NULL,M112x,NULL
13,5,0,1,Analiza i sklapanje geneti?kih sekvenci,1,9140,28
15,6,0,1,Analiza slika u medicini,2,9201,29
6,2,2,3,Analiza zahteva i definisanje arhitektonskih rešenja,5,6060,13
15,5,0,2,Animacija,3,9308,33
8,3,3,4,Animirana grafika,7,4111,4
6,2,2,3,ÄŒetvrti izborni predmet iz grupe IT-1,5,5945,13
6,2,2,2,Arhitektura ra?unara,4,2007,5
8,3,2,2,Baze podataka,4,4015,7
6,2,2,4,Beži?ne i mobilne komunikacije,7,5010,3
13,5,0,1,Beži?ne senzorske mreže,2,9152,30
15,6,0,2,Bezbednost internet servisa,3,9136,29
6,2,2,4,Bezbednost mreža,8,5011,3
8,3,3,1,Bioinformatika,1,8019,16
15,6,0,1,Biološke mreže,2,9141,28
8,3,3,4,Bionika u dizajnu,7,4101,4
8,3,3,1,Crtanje i slikanje,1,1050,4
6,2,2,3,Data centar infrastruktura,6,5015,6
5,2,2,2,Digitalna elektronika,4,3015,13
8,4,3,4,Digitalna obrada signala,8,5012,3
8,3,3,4,Digitalna slika,7,4113,4
12,5,0,1,Digitalna umetnost,1,9301,33
6,2,2,1,Digitalne biblioteke i arhive,1,8041,23
8,3,2,3,Digitalne komunikacije,6,4011,3
6,2,2,3,Digitalni video,6,3062,10
8,3,2,1,Diskretne strukture,1,2,3
5,0,0,NULL,Diskretne strukture 1,NULL,CS105,NULL
6,2,2,1,Diskretne strukture 2,2,1002,3
8,3,3,1,Distribuirane i objektne baze podataka,1,8042,23
8,3,3,NULL,Dizajn ambalaže,NULL,4112,4
6,2,2,1,Dizajn grafi?kih medija,1,4215,18
6,2,2,2,Dizajn i analiza algoritama,3,2005,3
7,2,2,1,Dizajn i informacione tehnologije 1,2,1055,4
5,2,1,2,Dizajn i informacione tehnologije 2,3,2052,4
8,2,3,2,Dizajn i razvoj web strana,3,1014A,14
8,2,3,2,Dizajn i razvoj veb strana,3,1014,12
6,2,2,1,Dizajn multimedija,1,4221,25
8,2,3,2,Dizajn softvera,3,2002,7
8,3,3,4,Dizajn virtuelnog prostora,7,4114,10
6,2,2,1,Dizajn zvuka,2,4222,25
6,2,2,1,Duboko u?enje,2,8032,16
3,2,2,NULL,Ekonomika ra?unarstva,NULL,5016,NULL
6,2,2,1,Eksperimentalna animacija,1,4226,25
6,2,2,3,Elektromagnetika,6,4030,3
8,3,2,2,Elektronsko poslovanje,4,6016,12
6,0,0,NULL,Elementi vizualne komunikacije,NULL,5027,NULL
3,2,0,1,Engleski 1,1,5,3
3,2,0,1,Engleski 2,2,1005,3
6,2,2,2,Engleski 3,3,2016,12
3,0,2,1,Engleski jezik 1,1,1053,4
6,2,2,1,Engleski jezik 2,2,1057,4
6,2,0,2,Engleski jezik 3,3,2053,4
6,2,0,2,Engleski jezik 4,4,2057,4
3,2,2,NULL,Eti?ki aspekti ra?unarstva,NULL,4018,NULL
15,5,0,2,Evolucioni algoritmi za namenske sisteme,3,9154,30
6,2,2,1,Fazi logika,2,6001,16
8,3,3,3,Film,6,3052,4
8,3,3,3,Film 1,5,3060,10
6,2,2,3,Film 2,6,3063,10
8,3,3,4,Film i multimedija,8,4102,4
8,3,3,1,Filmska muzi?ka produkcija,1,4200,18
5,2,2,3,Fizi?ka elektronika,5,4080,6
8,3,3,2,Fotografija,3,2051,4
15,5,0,1,Fotografija u savremenoj umetnosti,2,9303,33
15,5,0,2,Fotonika,3,9147,30
6,2,2,2,Funkcionalno programiranje,4,5007,8
6,2,2,4,Genetski algoritmi,7,5001,8
6,2,2,3,Geometrijski algoritmi,5,4001,8
15,5,0,1,Grafi?ki dizajn,2,9306,33
9,3,4,2,Grafi?ki dizajn 1,4,2055,4
8,3,3,3,Grafi?ki dizajn 2,6,3055,4
6,0,0,NULL,Grafi?ki korisni?ki interfejs,NULL,CS351,NULL
8,3,3,3,Grafi?ki projekti 1,5,3053,4
6,2,2,3,Grafi?ki projekti 2,6,3061,10
8,2,3,2,Grafi?ko oblikovanje,4,2059,10
15,5,0,2,Humanoidna robotika,3,9155,30
8,3,2,1,Ilustracija,2,1054,4
6,2,2,3,Ilustracija u digitalnoj umetnosti,6,3057,4
7,2,3,NULL,Implementacija i administracija Active Directory servisa,NULL,5974A,NULL
8,3,3,NULL,Implementacija i administracija Wndows Server mrežne infrastrukture,NULL,5963A,NULL
6,2,2,3,Implementiranje Microsoft Internet Security and Acceleration (ISA) servera,6,6059,13
6,2,2,3,"Implementiranje, upravljanje i održavanje Microsoft Windows Server mrežne infrastrukture",6,6056,13
15,6,0,2,Inženjerske metode optimizacije,3,9157,30
8,3,2,1,Inženjerstvo znanja,1,8039,27
8,3,3,2,Informacioni sistemi,4,3011,3
6,2,2,3,Integrisani informacioni sistemi,5,4016,8
3,0,0,NULL,Intelektualna svojina,NULL,CS385,NULL
8,3,3,2,Inteligentni sistemi,3,2009,7
6,2,2,3,Interakcija ?ovek ra?unar,6,2003,9
6,2,2,3,Interakcija ?ovek-ra?unar,6,2003A,7
6,2,2,3,Interaktivna grafika,6,3064,10
8,3,3,1,Interaktivni dizajn,2,4211,18
6,2,2,1,Interdisciplinarna istraživanja,1,4216,18
6,2,2,1,Internet stvari,1,6043,19
